"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
02-204,,"July 17, 2002",,"CPSC, Aroma Housewares Co. Announce Another Recall of Juicers","ACJ-250 Aroma Juice Extractors","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Aroma Housewares Co., of San Diego, Calif., is recalling about 117,000 more juice extractors or juicers. The juicer's filter and lid can break apart and project metal and plastic into the air, causing injuries to consumers.The firm previously recalled 40,000 juicers in June 1999. This recall includes redesigned juicers used as replacements for the original recall.Aroma Housewares has received two additional reports of the redesigned juicer's filter and lid breaking apart, resulting in two consumers suffering minor injuries. There have been 32 reports of the original juicer breaking, and 32 reports of injuries. Seven of these injuries required stitches and one required surgery for lacerated arteries.All model ACJ-250 Aroma Juice Extractors are included in the recall. ""ACJ-250"" and ""MADE IN CHINA"" are written on the bottom of the juicer on a silver label. The juice extractor is made of white and clear plastic and has a metal filter. ""Aroma"" is printed on the front of the unit.Discount specialty and department stores sold the recalled juice extractors from March 1996 through July 2002 for about $25.Consumers should stop using the recalled juice extractors immediately, and call the company for information on receiving a refund. Even if consumers previously received a replacement juicer as part of the original recall, they should contact Aroma Housewares for a refund. Consumers should call Aroma Housewares at (800) 276-6286 between 9 a.m. and 5 p.m. PT Monday through Friday.Aroma reported to CPSC the recent incidents of the redesigned juicer breaking. See CPSC's July 2, 2002 press release.&nbsp;","The juicer's filter and lid can break apart and project metal and plastic into the air, causing injuries to consumers.",,,Refund,"About 117,000","Aroma Housewares has received two additional reports of the redesigned juicer's filter and lid breaking apart, resulting in two consumers suffering minor injuries. There have been 32 reports of the original juicer breaking, and 32 reports of injuries. Seven of these injuries required stitches and one required surgery for lacerated arteries.","Consumers should stop using the recalled juice extractors immediately, and call the company for information on receiving a refund. Even if consumers previously received a replacement juicer as part of the original recall, they should contact Aroma Housewares for a refund.","Sold At","Discount specialty and department stores sold the recalled juice extractors from March 1996 through July 2002 for about $25.",,,,China,,
02-191,,"June 30, 2002",,"Bath & Body Works Recall of Ice Shaver","Ice Shavers","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Bath &amp; Body Works Inc., of Columbus, Ohio, is voluntarily recalling about 1,000 ice shavers. The stainless steel blade on the shaver can cut consumers and cause injury.Bath &amp; Body Works has received five reports of incidents, which caused minor injuries to consumers' hands and fingers. These incidents occurred at various Bath &amp; Body Works stores.The recalled ice shavers are orange and blue, come with two ice maker cups, and have a palm tree design on the sides of the machine. On the front of the ice shaver are the words, ""Bath and Body Works Art Stuff."" The ice shaver has a silver and blue handle, which when turned, compresses the ice onto a stainless steel blade. On the bottom are the ice shaver are the words, ""Made in Taiwan.""Bath &amp; Body Works retail stores sold the ice shavers nationwide throughout May 2002 for about $20.Consumers should stop using these ice shavers immediately and return them to any Bath &amp; Body Works store for a full refund or store credit. For additional information, consumers should call Bath &amp; Body Works at (800) 395-1001 between 8:30 to 5:30 p.m. ET Monday through Friday.","The stainless steel blade on the shaver can cut consumers and cause injury.",,,Refund,"About 1,000","Bath & Body Works has received five reports of incidents, which caused minor injuries to consumers' hands and fingers. These incidents occurred at various Bath & Body Works stores.","Consumers should stop using these ice shavers immediately and return them to any Bath &amp; Body Works store for a full refund or store credit.","Sold At","Bath &amp; Body Works retail stores sold the ice shavers nationwide throughout May 2002 for about $20.",,,,Taiwan,,
02-189,,"June 26, 2002",,"CPSC, In-Sink-Erator Announce Recall to Repair Instant Hot Water Dispensers","Hot water dispensers","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), In-Sink-Erator, of Racine, Wis., is voluntarily recalling about 252,000 half-gallon instant hot water dispensers. Water can leak from the metal holding tank, wet insulating material and cause electrical arcing and heat build-up. This poses a fire hazard.In-Sink-Erator has received three reports of holes in the electrical insulation or outer cover of the hot water dispenser. One report involved a kitchen fire that caused nearly $7,000 in property damage. No injuries have been reported.The recalled hot water dispensers are half-gallon capacity models, made in the USA and sold under various brand names, including In-Sink- Erator®, ISE®, Steamin' Hot®, Emerson®, Dayton™, ACE™, Kenmore® and Kohler™. The serial number (S/N) is printed on a specification plate attached to the metal holding tank. This recall involves instant hot water dispensers with serial numbers (some begin with two letters) 999- 10 or those that fall between 1000 and 3084000.Plumbers, building contractors, home centers and hardware stores sold these instant hot water dispensers from January 1972 through December 1996 for between $100 and $250.Consumers should unplug their hot water dispensers immediately, check the serial number and contact In-Sink-Erator if their unit is part of the recall. Consumers with affected units will receive a replacement insulation shield. For more information and a complete list of brands, consumers can contact In-Sink-Erator at (800) 295-8727 from 8 a.m. to 8 p.m. ET Monday through Friday or visit the firm's website at&nbsp;www.insinkerator.com.One-third gallon capacity instant hot water dispensers manufactured by In-Sink-Erator are not involved in this recall.","Water can leak from the metal holding tank, wet insulating material and cause electrical arcing and heat build-up. This poses a fire hazard.",,,Replace,"About 252,000","In-Sink-Erator has received three reports of holes in the electrical insulation or outer cover of the hot water dispenser. One report involved a kitchen fire that caused nearly $7,000 in property damage. No injuries have been reported.","Consumers should unplug their hot water dispensers immediately, check the serial number and contact In-Sink-Erator if their unit is part of the recall. Consumers with affected units will receive a replacement insulation shield.","Sold At","Plumbers, building contractors, home centers and hardware stores sold these instant hot water dispensers from January 1972 through December 1996 for between $100 and $250.",,,,,,
02-165,,"May 20, 2002",,"CPSC, Rose Art Industries Announce Recall to Repair Cotton Candy Machine","Rose Art cotton candy machines","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Rose Art Industries Inc., of Livingston, N.J. is voluntarily recalling about 188,000 cotton candy machines. The motors on the cotton candy machines can jam and overheat, posing a fire hazard. Additionally, the heating unit can be activated without the spinner in place, presenting a risk of burn to consumers.CPSC and Rose Art have received 225 reports of the machines overheating. There have been three reports of fire, one resulting in an estimated $2,000 in property damage. CPSC has received a report of two unconfirmed minor injuries.The recalled cotton candy machines have either a blue or a purple base and a clear plastic cover. The words ""The Real Cotton Candy Machine"" are printed in a rainbow of colors on the base of the machine and on the packaging. The product is marketed for children ages 10 and up. The cotton candy machines were made in China.Toy and discount stores sold these cotton candy machines nationwide from September 2001 through April 2002 for about $27.Consumers should stop using these cotton candy machines immediately and contact Rose Art at (888) 262-4474 anytime for a free replacement motor unit, and free samples of flavored sugar to make cotton candy. For more information, consumers can visit the firm's website at&nbsp;www.roseart.com.","The motors on the cotton candy machines can jam and overheat, posing a fire hazard. Additionally, the heating unit can be activated without the spinner in place, presenting a risk of burn to consumers.",,,Replace,"About 188,000","CPSC and Rose Art have received 225 reports of the machines overheating. There have been three reports of fire, one resulting in an estimated $2,000 in property damage. CPSC has received a report of two unconfirmed minor injuries.","Consumers should stop using these cotton candy machines immediately and contact Rose Art at (888) 262-4474 anytime for a free replacement motor unit, and free samples of flavored sugar to make cotton candy.","Sold At","Toy and discount stores sold these cotton candy machines nationwide from September 2001 through April 2002 for about $27.",,,,China,,
02-134,,"April 03, 2002",,"CPSC, Crystal Mountain Water Cooler Corp. Announce Recall of Water Coolers","Hot & Cold Water Dispensers","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Crystal Mountain Water Cooler Corp., of Alberta, Canada is voluntarily recalling about 12,000 hot &amp; cold water coolers. Approximately eighty percent of the water dispensers were sold in the United States. The hot &amp; cold water dispenser's heater band can short circuit, posing a fire hazard to consumers.Crystal Mountain Water Cooler Corp. has received about 20 reports of the water cooler's insulation smoking, or igniting the unit. Damages ranged from minor smoke and fire damage up to $200,000 in property damage.The Hot &amp; Cold Water Dispenser is an upright water dispenser, with two faucets. One faucet has a red lever and one faucet has a blue lever. The unit stands at 35 5/8 inches-high (98.1 cm2), weighs 36.43 pounds (16.56 kgs) and has a base area of 120.5 square inches (777.41 cm2). To determine if the water dispenser is subject to this recall, the serial number plate is located on the back at the top of the water dispenser. Only water coolers with serial numbers between 1199125 and 1100175 are included in the recall. The third and fourth digits of the serial number represent the year of production.Crystal Mountain and its distributors sold these water coolers in the U.S. and Canada from May 1999 through July 2000 for about $300.Consumers should turn off the hot tank power switch or simply unplug the units and contact Crystal Mountain at (866) 678-4886 anytime to receive repair information. Consumers should have the serial number of their water cooler available at the time of the call.Crystal Mountain issued registered letters to its entire customer base. This release is being issued in an attempt to reach those consumers who did not respond to the direct mailing.","The hot &amp; cold water dispenser's heater band can short circuit, posing a fire hazard to consumers.",,,Repair,"About 12,000","Crystal Mountain Water Cooler Corp. has received about 20 reports of the water cooler's insulation smoking, or igniting the unit. Damages ranged from minor smoke and fire damage up to $200,000 in property damage.","Consumers should turn off the hot tank power switch or simply unplug the units and contact Crystal Mountain at (866) 678-4886 anytime to receive repair information. Consumers should have the serial number of their water cooler available at the time of the call.","Sold At","Crystal Mountain and its distributors sold these water coolers in the U.S. and Canada from May 1999 through July 2000 for about $300.",,,,,,
02-527,,"March 25, 2002",,"CPSC, Invensys Climate Controls, Announce Recall of TS11 Thermal Safety Control Valve","TS11 Thermal Safety Control Valve","Invensys Climate Controls - OEM Products Group, of Long Beach Calif., a division of Invensys Control Systems, is recalling 18,200 TS11 Thermal Safety Control Valves, which are installed in commercial ovens, ranges, and warmer trays by OEM manufacturers and service organizations. The affected units were manufactured between June 2001 and August 2001 and have production dates beginning with codes 0124 through and including 0131. The date codes are marked on the backside of the upper housing, below the red button.Invensys CustomerModel/Appliance NumberCustomer Part NumberInvensys Part NumberAmerican Wyott(included in Vulcan Hart)2065611512-110-112American RangeAR Series Ranges10425 or A80100511-100-201Cecilware Co.&nbsp;L344A512-110-102Comstock Castle&nbsp;13017511-110-201Duke ManufacturingAerohot and Thurmaduke Gas Foodwarmer products21-35-08511-100-222Dynamic Cooking SystemsProfessional Restaurant Ranges13002511-100-001Garland Commercial &amp; US RangeGarland Starfire H280 seriesUS Range Sunfire S seriesUS Range Performer PX seriesUS Range Cuisine 836 seriesGO1479-01511-112-401GLT Inc.(included in Vulcan Hart)920442512-110-520405969-2511-121-520Imperial ManufacturingIR,IHR and ISAE series2138511-100-201Jade Range&nbsp;460-152-000511-100-001Mecserflex Ltd.&nbsp;None511-110-001Monague Co.&nbsp;&nbsp;511-111-508511-111-516Royal Range Ind.&nbsp;None511-100-222Shenandoah Mfg. Co.&nbsp;10421100511-100-401Vulcan Hart-PMIHeavy Duty Restaurant427083-2511-115-001Heavy Duty Restaurant405569-2511-121-520Heavy Duty Restaurant920442512-110-520Wolf RangeHeavy Duty Restaurant714267511-100-001920442512-110-520Industrias Baal S.A. de C.V.&nbsp;None511-100-001Maplechase/UnilineUniline Part NumberInvensys Part NumberCanada1731-C110511-110-001Canada1731-C112512-110-101US1710-11A14111US1710-11B14112US1720-00F1720-006511-112-201US1720-00H1720-008511-100-001US1720-00D1720-004511-121-520THE CONSUMER PRODUCT SAFETY COMMISSION WILL MONITOR THE EFFECTIVENESS OF THIS RECALL.","The lower body, with 1/4"", 3/8"", 7/16"" inlet/outlet diameter, may have a machining defect that can create a thin wall on the bottom of the casting. The cast area may break through partially or completely in a circular pattern when rapped, causing an external leak. The leaking gas may cause a fire.",,,Refund,"18,200","No injuries have been reported.","Consumers who have one of these valves should return to the point of purchase or to Invensys.",,,,,,,,
02-119,,"March 19, 2002",,"CPSC, Jade Products Inc. Announce Recall to Repair Dynasty Gas Ranges","Dynasty Gas Range","In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Jade Products Inc., of Commerce, Calif., is voluntarily recalling to repair about 7,200 Dynasty gas ranges.&nbsp;The Dynasty gas ranges included in this program are all 30, 36, and 48-inch units with the model number DGRSC. The model number is located on the serial plate that is accessed by lifting the right hand cooking module from the range top. The brand name ""Dynasty"" appears on the front of the range.The installation of the anti-tip brackets will bring the recalled ranges into compliance with the stability test requirements of the American National Standards Institute (ANSI) Z21.1 Standard for Household Gas Cooking Appliances.Some of these ranges were also involved in a&nbsp;separate March 2001 recall&nbsp;to repair a delayed gas ignition defect.","The ranges could tip-over if a heavy weight is placed on an open oven door, posing a risk of burn injuries from hot food or liquids in cooking containers.",,,Repair,"7,200","Jade Products has not received any reports of incidents. This recall is being conducted to prevent the possibility of injuries.","Consumers may continue to use the ranges but are cautioned not to place any objects on the open oven door until an anti-tip bracket has been installed. Consumers should call Jade Products to arrange for free installation of an anti-tip bracket.","Sold At","Appliance and retail stores nationwide sold these ranges from January 1996 through December 2001 for between $3,000 and $7,400.",,,,,,
02-106,,"February 20, 2002",,"CPSC, Calphalon Corp. Announce Recall of Stainless Steel Kettles","Stainless Steel Kettle","In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Calphalon Corp., Toledo, Ohio, is recalling about 13,000 stainless steel kettles.&nbsp;The recalled kettles are stainless steel, have a glass cover, and have the model number 4302, which is located on the bottom of the kettle. The kettles, which can hold 2-quarts of water, also have the name ""Calphalon"" printed on the glass cover. Kettles that have a green sticker next to the bar code on the bottom of the box contain retrofitted covers and are not included in this recall.","The kettle's cover traps steam inside of the kettle causing an increase in pressure. This forces hot water to rise and escape through the spout, posing a serious burn hazard to consumers.",,,Replace,"13,000","CPSC and Calphalon have received reports of 13 incidents, including three minor burn injuries. Hot water splashed on two adult's hands and an 18-month-old child's scalp.","Consumers should stop using these kettles immediately to receive a free replacement cover.","Sold At","Department stores and specialty catalogs nationwide sold these kettles between October 2001 and January 2002 for about $40.",,,,,,
02-099,,"February 06, 2002",,"CPSC, Applica Consumer Products Inc. Announce Recall of Black & Decker&#174; Brand VersaToast&#153; Toasters","VersaToast™ Wide-Slot Toaster","In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Applica Consumer Products Inc., of Miami Lakes, Fla., is voluntarily recalling about 2.1 million VersaToast™ wide-slot toasters. Applica made and sold these toasters under the Black &amp; Decker® brand.&nbsp;The recall includes both two-slice and four-slice Black &amp; Decker® brand VersaToast™ wide-slot toasters. ""BLACK &amp; DECKER®,"" ""VersaToast™"" and ""WIDE SLOT"" are written on the side of the toaster near the cooking controls. The toasters have either white or black plastic enclosures. They have model number T1200, T1250, T1400 or T1450 written on the bottom of the toaster.","The heating element in these toasters can continue to operate after use, posing a fire hazard.",,,Refund,"2.1 million","CPSC and Applica are aware of nine reports of fires associated with these toasters after a period of non-use, resulting in minor property damage to kitchen cabinets. One minor injury was reported to the firm, but it has not been confirmed and is under investigation.","Consumers should unplug and stop using these recalled toasters immediately.","Sold At","Discount department stores, including Wal-Mart, Service Merchandise, Kohl's Department Stores and Bradlees, sold the toasters nationwide from June 1999 through January 2002. The two-slice toasters sold for between $10 and $20. The four-slice toasters sold for between $18 and $30.",,,,,,
02-097,,"February 03, 2002",,"CPSC, BSH Home Appliances Corp. Announce Recall of Thermador Gas Ranges","Thermador Gas Range","In cooperation with the U.S. Consumer Product Safety Commission (CPSC), BSH Home Appliances Corp., of Huntington Beach, Calif., is voluntarily recalling about 2,460 Thermador brand gas ranges.&nbsp;The recalled ovens are 48-inch All-Gas Professional Ranges and were sold under the Thermador brand name. The ranges are stainless steel and have small and large side-by-side ovens. Only model numbers PRG484GGUS, PRG486GDUS, and PRG486GLUS and serial number ranges 98020001-98129999, 99010001-99129999, 20010001-20129999 and 81010001- 81119999 are included in the recall. The model and serial number are located on a data plate behind the kick panel at the bottom front of the range.","Hot air is vented below the small oven and causes the metal surface on the door of this oven to get too hot, presenting a burn hazard to consumers.",,,Repair,"2,460","BSH has received one report of high temperatures on the surface of one of the ranges. No injuries have been reported.","Consumers should stop using the small ovens immediately and contact their local Thermador service center to arrange a free repair.","Sold At","Appliance and specialty stores nationwide sold the ranges from March 1998 through November 2001 for between $5540 and $6370.",,,,,,
02-046,,"November 26, 2001",,"CPSC, Ceraflame Inc. Announce Recall of Ceramic Tea Kettles","Ceraflame Ceramic Stove Top Tea Kettles","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Ceraflame Inc., of New York, N.Y., is recalling about 3,000 ceramic tea kettles. The tea kettles can break or burst during use, spilling hot water, which poses the risk of burn injuries to consumers.    Ceraflame Inc. has received six reports of tea kettles breaking, though no injuries have been reported.    The Ceraflame Ceramic Stove Top Tea Kettles are made of ceramic and are glazed black. The tea kettles have either a brown wooden handle, or a ceramic handle of a similar color to the kettle. The kettles have the words ""Ceraflame"" and ""Made in Brazil"" stamped on the bottom.    Gourmet stores and specialty catalogs sold these tea kettles nationwide from October 2000 through October 2001 for between $60 and $70.    Consumers should stop using these tea kettles immediately and return them to the store where purchased for a refund or free replacement. Consumers also can return the kettles by calling Ceraflame toll-free at (888) 679-5060 between 9 a.m. and 5 p.m. ET Monday through Friday or by e-mailing the company at info@ceraflame.com.    Tea kettles purchased at Bloomingdale's stores or on QVC are not involved in this recall.","The tea kettles can break or burst during use, spilling hot water, which poses the risk of burn injuries to consumers.",,,"Refund, Replace","About 3,000","Ceraflame Inc. has received six reports of tea kettles breaking, though no injuries have been reported.","Consumers should stop using these tea kettles immediately and return them to the store where purchased for a refund or free replacement.","Sold At","Gourmet stores and specialty catalogs sold these tea kettles nationwide from October 2000 through October 2001 for between $60 and $70.",,,,Brazil,,
02-508,,"November 20, 2001",,"CPSC, Gevalia Coffee Announce Recall of Coffeemakers","Gevalia Coffeemakers, Model DL 10","PRODUCT: Coffeemakers - Gevalia Coffee of Tarrytown, N.Y., is voluntarily recalling about 15,000 automatic drip coffeemakers. The recalled coffeemaker is model DL 10 and date coded 0801 and 0901. It is white, black or green with ""Gevalia"" written on the front. Gevalia distributed these coffeemakers through mail order coffee promotions nationwide between August 2001 and October 2001 as a free gift.PROBLEM: Coffeemakers can overflow, presenting a serious risk of burn injuries to consumers.INCIDENTS/INJURIES: Gevalia has received 11 reports of overflow incidents resulting in 8 burn injuries. One consumer received second-degree burns.WHAT TO DO: Consumers should stop using these coffeemakers immediately and call Gevalia toll free at (800) 325-3190 between 7a.m. and 10 p.m. ET Monday through Friday for information on how to receive a free replacement.Purchasers were sent direct mail notification of this recall and a free replacement coffee maker.","Coffeemakers can overflow, presenting a serious risk of burn injuries to consumers.",,,Replace,"About 15,000","Gevalia has received 11 reports of overflow incidents resulting in 8 burn injuries. One consumer received second-degree burns.","Consumers should stop using these coffeemakers immediately and call Gevalia toll free at (800) 325-3190 between 7a.m. and 10 p.m. ET Monday through Friday for information on how to receive a free replacement.","Sold At","Gevalia distributed these coffeemakers through mail order coffee promotions nationwide between August 2001 and October 2001 as a free gift.",,,,,,
02-041,,"November 14, 2001",,"CPSC, Hamilton Beach Announce Recall of Juice Extractors","Hamilton Beach Juice Extractors","WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Hamilton Beach, of Glen Allen, Va., is voluntarily recalling about 2.4 million juice extractors. The juice extractor's strainer basket and lid can break apart, posing a risk of injury to nearby consumers, who can be struck by metal or plastic.Hamilton Beach has received 35 reports in the U.S. and Canada of strainer baskets breaking apart, including four incidents where consumers required stitches after being struck by broken metal and plastic.The recalled juice extractors are white plastic, about 12 inches in height, and have the name ""Hamilton Beach"" printed on the side of the unit. The juice extractors have the following model numbers, which can be found under each unit: 67150, 67180, 67180W, 395WS, 67199 and 3920JS.Mass merchandise stores nationwide sold these juice extractors between 1992 and October 2001 for between $30 and $40.Consumers should stop using these juice extractors immediately and call Hamilton Beach at 800-851-8900 between 8 a.m. and 8 p.m. ET Monday through Friday for information on how to participate in the recall. Consumers with models for which replacement parts are available (models 67150, 67180 and 67180W) will receive a free replacement strainer basket. Consumers with models for which replacement parts are not available (models 395WS, 67199 and 3920JS) will receive their choice of a new juice extractor or a $10 refund. For more information, consumers can log on to the company's website at www.hamiltonbeach.com.","The juice extractor's strainer basket and lid can break apart, posing a risk of injury to nearby consumers, who can be struck by metal or plastic.",,,"Refund, Replace",,"Hamilton Beach has received 35 reports in the U.S. and Canada of strainer baskets breaking apart, including four incidents where consumers required stitches after being struck by broken metal and plastic.","Consumers should stop using these juice extractors immediately and call Hamilton Beach at (800) 298-9955 between 8 a.m. and 8 p.m. ET Monday through Friday for information on how to participate in the recall. Consumers with models for which replacement parts are available (models 67150, 67180 and 67180W) will receive a free replacement strainer basket. Consumers with models for which replacement parts are not available (models 395WS, 67199 and 3920JS) will receive their choice of a new juice extractor or a $10 refund.",,"Mass merchandise stores nationwide sold these juice extractors between 1992 and October 2001 for between $30 and $40.",,,,,,
02-022,,"October 17, 2001",,"CPSC, Wolf Range Co. Inc. and Wolf Appliance Co. LLC Announce Recall of Gas Ranges","Wolf® and Wolf Gourmet® residential gas ranges","WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Wolf Range Co. Inc., of Compton, Calif., and Wolf Appliance Co. LLC, of Fitchburg, Wis., are recalling about 15,000 residential gas ranges for repair. Wolf Appliance Co. acquired the product line in January 2000. Delayed ignition of gas in the ovens and broilers can put consumers at risk of burn injuries and fires. The firms are aware of three incidents of delayed ignition involving these ranges, including two reports of consumers getting their eyebrows singed.These gas ranges were sold under the Wolf® and Wolf Gourmet® brand names, which are written on the front of the ranges. These are 30-inch, 36-inch, 48-inch, and 60-inch natural gas and LP ranges with the following serial numbers: 60-10000000 through 60-1099999 and 11000957 through 11006106. In most units, the serial number is located on the left side of the range beneath the removable burner pan on the range top. On some 48-inch models, the serial number is located in the same area on the right side. The ranges were either stainless steel or black steel.Kitchen designers and appliance stores sold these ranges nationwide from January 1996 through June 2001 for about $2,000 for the 30-inch models to about $12,000 for the 60-inch units.Consumers should immediately stop using the oven and broiler on these units and call to arrange for a free in-home repair. Consumers who purchased the range before January 1, 2000 should call Wolf Range Co. toll-free at (866) 674-3554 between 8 a.m. and 5 p.m. MT Monday through Friday. Consumers who purchased the range on or after January 1, 2000 should call Wolf Appliance Co. toll-free at (800) 332-9513 between 7 a.m. and 7 p.m. CT Monday through Friday. Consumers who are unsure of the date of purchase can call either number and the operator will help them determine which firm to contact.","Delayed ignition of gas in the ovens and broilers can put consumers at risk of burn injuries and fires.",,,Repair,"About 15,000",,"Consumers should immediately stop using the oven and broiler on these units and call to arrange for a free in-home repair.","Sold At","Kitchen designers and appliance stores sold these ranges nationwide from January 1996 through June 2001 for about $2,000 for the 30-inch models to about $12,000 for the 60-inch units.",,,,,,
02-021,,"October 17, 2001",,"CPSC, Norcold Inc. Announce Recall of Refrigerators","Combination gas and electric refrigerators","WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Norcold Inc., of Sidney, Ohio, is voluntarily recalling 360 free-standing, combination gas and electric refrigerators. Tubing in the cooling unit can crack and leak flammable gas, presenting a fire and burn hazard to consumers.Norcold has not received any reports of incidents. This recall is being conducted to prevent the possibility of injuries.The recalled refrigerators are white, with black trim on the front, and have the Norcold logo on the bottom left corner of the control panel. The refrigerators have cooling unit serial numbers within the range of 1038000 to 1099000, which can be found on the black canister at the bottom right of the back of the refrigerator.Specialty retailers nationwide sold the refrigerators from May 1999 through January 2000 for about $900.Consumers should disconnect the electricity to these refrigerators and call Norcold toll-free at (800) 767-9101 between 8 a.m. and 5 p.m. ET Monday through Friday to schedule a free, in-home repair.","Tubing in the cooling unit can crack and leak flammable gas, presenting a fire and burn hazard to consumers.",,,,360,"Norcold has not received any reports of incidents. This recall is being conducted to prevent the possibility of injuries.","Consumers should disconnect the electricity to these refrigerators and call Norcold toll-free at (800) 767-9101 between 8 a.m. and 5 p.m. ET Monday through Friday to schedule a free, in-home repair.","Sold At","Specialty retailers nationwide sold the refrigerators from May 1999 through January 2000 for about $900.",,,,,,
02-019,,"October 17, 2001",,"CPSC, National Presto Industries Inc. Announce Recall of Deep Fryer Basket Handles","Presto CoolDaddy electric deep fryer basket handles","WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), National Presto Industries Inc. (Presto) of Eau Claire, Wis., is voluntarily recalling to replace up to 50,000 Presto CoolDaddy electric deep fryer basket handles. The handles on the fryer baskets can come off, resulting in hot oil spattering the user and bystanders.Presto has received 63 reports of basket handles coming off, including 10 reports of consumers being spattered with hot oil. The injuries include minor burns to the arms and face.The Presto CoolDaddy electric deep fryers have model numbers 0544404 (product number 21-419) and 0544504 (product number 21-439). The deep fryers are white with the words, ""Presto CoolDaddy or ""Presto Pride® CoolDaddy®"" written on the front. The model numbers are located on the bottom of the deep fryer and the product number is located on the bottom of the carton. Only the deep fryer baskets with silver screws attaching the basket handle are involved in this recall.Department stores sold the deep fryers nationwide from July 2000 through June 2001 for between $50 and $70.Consumers should stop using their deep fryer baskets immediately, and contact Presto toll-free at (866) 813-9545 between 8 a.m. and 4:30 p.m. CT Monday through Friday, to receive a free repair kit. Consumers also can log on to the company's web site at www.gopresto.com/recall.Basket handles with black screws, and deep fryers with magnetic detachable cords are not involved in this recall.","The handles on the fryer baskets can come off, resulting in hot oil spattering the user and bystanders.",,,Repair,"About 50,000","Presto has received 63 reports of basket handles coming off, including 10 reports of consumers being spattered with hot oil. The injuries include minor burns to the arms and face.","Consumers should stop using their deep fryer baskets immediately, and contact Presto toll-free at (866) 813-9545 between 8 a.m. and 4:30 p.m. CT Monday through Friday, to receive a free repair kit.","Sold At","Department stores sold the deep fryers nationwide from July 2000 through June 2001 for between $50 and $70.",,,,,,
02-018,,"October 15, 2001",,"CPSC, Whirlpool Announce Recall of Microwave-Hood Combinations","Microwave-hood combinations sold under the Whirlpool®, KitchenAid® and Kenmore® brand names","WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Whirlpool Corp., of Benton Harbor, Mich., is voluntarily recalling about 1.8 million microwave-hood combinations. These units can overheat and catch fire.Whirlpool has received seven reports of fires involving these microwave-hood combinations. These incidents have resulted in extensive property damage. No injuries have been reported.These are microwave oven and exhaust fan hood combination units that are installed above ranges. They were sold under the Whirlpool®, KitchenAid® and Kenmore® brand names. They have serial numbers that begin with XC. Open the door to locate the serial and model numbers. Department, electronics, home and appliance stores, as well as builders and remodelers, sold the microwave-hood combinations nationwide from January 1998 through September 2001 for between $249 and $749.Consumers with recalled microwave-hood combinations should immediately stop using them and disconnect the units by unplugging them. Consumers can call Whirlpool Corp. for a free repair. Consumers can contact Whirlpool at (800) 785-8897 anytime. Consumers also can visit Whirlpool's website at www.whirlpool.com. Consumers should have the model and serial number of their unit available when they call or visit the website.Whirlpool has developed a new ""Consumer In-Home Service Repair Information"" Pamphlet (pdf format). This pamphlet will provide consumers with detailed information concerning the cause of the fires and what the in-home repair will entail.Countertop microwaves are not included in this recall.","These units can overheat and catch fire.",,,Repair,"About 1.8 million","Whirlpool has received seven reports of fires involving these microwave-hood combinations. These incidents have resulted in extensive property damage. No injuries have been reported.","Consumers with recalled microwave-hood combinations should immediately stop using them and disconnect the units by unplugging them. Consumers can call Whirlpool Corp. for a free repair. Consumers can contact Whirlpool at (800) 785-8897 anytime. Consumers also can visit Whirlpool's website at www.whirlpool.com. Consumers should have the model and serial number of their unit available when they call or visit the website.","Sold At","Department, electronics, home and appliance stores, as well as builders and remodelers, sold the microwave-hood combinations nationwide from January 1998 through September 2001 for between $249 and $749.",,,,,,
